t	X1	Y1
s	m	m
 16,29722977	 0,00000000	-0,01135593
 16,30230713	 0,00000000	-0,01135593
 16,30738258	 0,00000000	-0,01101695
 16,31245995	 0,00000000	-0,01101695
 16,31753731	 0,00000000	-0,01101695
 16,32261467	 0,00000000	-0,01101695
 16,32769203	 0,00000000	-0,01101695
 16,33276939	 0,00000000	-0,01101695
 16,33784485	 0,00000000	-0,01101695
 16,34292221	 0,00000000	-0,01067797
 16,34799957	 0,00000000	-0,01067797
 16,35307693	 0,00000000	-0,01067797
 16,35815430	 0,00000000	-0,01067797
 16,36322975	 0,00000000	-0,01067797
 16,36830711	 0,00000000	-0,01067797
 16,37338448	 0,00000000	-0,01067797
 16,37846184	 0,00000000	-0,01067797
 16,38353920	 0,00000000	-0,01033898
 16,38861656	 0,00000000	-0,01033898
 16,39369202	 0,00000000	-0,01033898
 16,39876938	 0,00000000	-0,01033898
 16,40384674	 0,00000000	-0,01033898
 16,40892410	 0,00000000	-0,01033898
 16,41400146	 0,00000000	-0,01033898
 16,41907692	 0,00000000	-0,01033898
 16,42415428	 0,00000000	-0,01033898
 16,42923164	 0,00000000	-0,01067797
 16,43430901	 0,00000000	-0,01067797
 16,43938637	 0,00000000	-0,01067797
 16,44446373	 0,00000000	-0,01067797
 16,44953918	 0,00000000	-0,01067797
 16,45461655	 0,00000000	-0,01067797
 16,45969391	 0,00000000	-0,01067797
 16,46477127	 0,00000000	-0,01101695
 16,46984863	 0,00000000	-0,01101695
 16,47492409	 0,00000000	-0,01101695
 16,48000145	 0,00000000	-0,01101695
 16,48507881	 0,00000000	-0,01101695
 16,49015617	 0,00000000	-0,01101695
 16,49523354	 0,00000000	-0,01101695
 16,50031090	 0,00000000	-0,01101695
 16,50538635	 0,00000000	-0,01101695
 16,51046371	 0,00000000	-0,01101695
 16,51554108	 0,00000000	-0,01101695
 16,52061844	 0,00000000	-0,01101695
 16,52569580	 0,00000000	-0,01101695
 16,53077316	 0,00000000	-0,01135593
 16,53584862	 0,00000000	-0,01135593
 16,54092598	 0,00000000	-0,01101695
 16,54600334	 0,00000000	-0,01101695
 16,55108070	 0,00000000	-0,01101695
 16,55615807	 0,00000000	-0,01101695
 16,56123352	 0,00000000	-0,01101695
 16,56631088	 0,00000000	-0,01101695
 16,57138824	 0,00000000	-0,01101695
 16,57646561	 0,00000000	-0,01101695
 16,58154297	 0,00000000	-0,01101695
 16,58662033	 0,00000000	-0,01101695
 16,59169579	 0,00000000	-0,01101695
 16,59677315	 0,00000000	-0,01067797
 16,60185051	 0,00000000	-0,01067797
 16,60692787	 0,00000000	-0,01067797
 16,61200523	 0,00000000	-0,01067797
 16,61708069	 0,00000000	-0,01067797
 16,62215805	 0,00000000	-0,01067797
 16,62723541	 0,00000000	-0,01067797
 16,63231277	 0,00000000	-0,01067797
 16,63739014	 0,00000000	-0,01067797
 16,64246750	 0,00000000	-0,01067797
 16,64754295	 0,00000000	-0,01067797
 16,65262032	 0,00000000	-0,01067797
 16,65769768	 0,00000000	-0,01067797
 16,66277504	 0,00000000	-0,01067797
 16,66785240	 0,00000000	-0,01067797
 16,67292786	 0,00000000	-0,01067797
 16,67800522	 0,00000000	-0,01067797
 16,68308258	 0,00000000	-0,01101695
 16,68815994	 0,00000000	-0,01101695
 16,69323730	 0,00000000	-0,01067797
 16,69831467	 0,00000000	-0,01067797
 16,70339012	 0,00000000	-0,01101695
 16,70846748	 0,00000000	-0,01101695
 16,71354485	 0,00000000	-0,01101695
 16,71862221	 0,00000000	-0,01101695
 16,72369957	 0,00000000	-0,01101695
 16,72877502	 0,00000000	-0,01101695
 16,73385239	 0,00000000	-0,01101695
 16,73892975	 0,00000000	-0,01101695
 16,74400711	 0,00000000	-0,01101695
 16,74908447	 0,00000000	-0,01101695
 16,75416183	 0,00000000	-0,01101695
 16,75923729	 0,00000000	-0,01101695
 16,76431465	 0,00000000	-0,01101695
 16,76939201	 0,00000000	-0,01101695
 16,77446938	 0,00000000	-0,01101695
 16,77954674	 0,00000000	-0,01101695
 16,78462410	 0,00000000	-0,01101695
 16,78969955	 0,00000000	-0,01101695
 16,79477692	 0,00000000	-0,01101695
 16,79985428	 0,00000000	-0,01101695
 16,80493164	 0,00000000	-0,01101695
 16,81000900	 0,00000000	-0,01101695
 16,81508446	 0,00000000	-0,01101695
 16,82016182	 0,00000000	-0,01101695
 16,82523918	 0,00000000	-0,01101695
 16,83031654	 0,00000000	-0,01101695
 16,83539391	 0,00000000	-0,01101695
 16,84047127	 0,00000000	-0,01101695
 16,84554672	 0,00000000	-0,01101695
 16,85062408	 0,00000000	-0,01067797
 16,85570145	 0,00000000	-0,01101695
 16,86077881	 0,00000000	-0,01067797
 16,86585617	 0,00000000	-0,01101695
 16,87093163	 0,00000000	-0,01067797
 16,87600899	 0,00000000	-0,01101695
 16,88108635	 0,00000000	-0,01067797
 16,88616371	 0,00000000	-0,01067797
 16,89124107	 0,00000000	-0,01067797
 16,89631844	 0,00000000	-0,01067797
 16,90139389	 0,00000000	-0,01067797
 16,90647125	 0,00000000	-0,01067797
 16,91154861	 0,00000000	-0,01067797
 16,91662598	 0,00000000	-0,01101695
 16,92170334	 0,00000000	-0,01101695
 16,92677879	 0,00000000	-0,01067797
 16,93185616	 0,00000000	-0,01101695
 16,93693352	 0,00000000	-0,01101695
 16,94201088	 0,00000000	-0,01101695
 16,94708824	 0,00000000	-0,01101695
 16,95216560	 0,00000000	-0,01101695
 16,95724106	 0,00000000	-0,01101695
 16,96231842	 0,00000000	-0,01101695
 16,96739578	 0,00000000	-0,01101695
 16,97247314	 0,00000000	-0,01101695
 16,97755051	 0,00000000	-0,01101695
 16,98262596	 0,00000000	-0,01135593
 16,98770332	 0,00000000	-0,01135593
 16,99278069	 0,00000000	-0,01135593
 16,99785805	 0,00000000	-0,01135593
 17,00293541	 0,00000000	-0,01135593
 17,00801277	 0,00000000	-0,01135593
 17,01308823	 0,00000000	-0,01135593
 17,01816559	 0,00000000	-0,01135593
 17,02324295	 0,00000000	-0,01135593
 17,02832031	 0,00000000	-0,01135593
 17,03339767	 0,00000000	-0,01135593
 17,03847504	 0,00000000	-0,01135593
 17,04355049	 0,00000000	-0,01135593
 17,04862785	 0,00000000	-0,01135593
 17,05370522	 0,00000000	-0,01135593
 17,05878258	 0,00000000	-0,01135593
 17,06385994	 0,00000000	-0,01135593
 17,06893539	 0,00000000	-0,01135593
 17,07401276	 0,00000000	-0,01135593
 17,07909012	 0,00000000	-0,01135593
 17,08416748	 0,00000000	-0,01135593
 17,08924484	 0,00000000	-0,01135593
 17,09432220	 0,00000000	-0,01135593
 17,09939766	 0,00000000	-0,01101695
 17,10447502	 0,00000000	-0,01101695
 17,10955238	 0,00000000	-0,01101695
 17,11462975	 0,00000000	-0,01101695
 17,11970711	 0,00000000	-0,01101695
 17,12478256	 0,00000000	-0,01101695
 17,12985992	 0,00000000	-0,01101695
 17,13493729	 0,00000000	-0,01101695
 17,14001465	 0,00000000	-0,01101695
 17,14509201	 0,00000000	-0,01101695
 17,15016937	 0,00000000	-0,01101695
 17,15524483	 0,00000000	-0,01101695
 17,16032219	 0,00000000	-0,01101695
 17,16539955	 0,00000000	-0,01101695
 17,17047691	 0,00000000	-0,01101695
 17,17555428	 0,00000000	-0,01101695
 17,18062973	 0,00000000	-0,01101695
 17,18570709	 0,00000000	-0,01101695
 17,19078445	 0,00000000	-0,01101695
 17,19586182	 0,00000000	-0,01101695
 17,20093918	 0,00000000	-0,01101695
 17,20601654	 0,00000000	-0,01101695
 17,21109200	 0,00000000	-0,01101695
 17,21616936	 0,00000000	-0,01101695
 17,22124672	 0,00000000	-0,01101695
 17,22632408	 0,00000000	-0,01101695
 17,23140144	 0,00000000	-0,01101695
 17,23647690	 0,00000000	-0,01101695
 17,24155426	 0,00000000	-0,01101695
 17,24663162	 0,00000000	-0,01101695
 17,25170898	 0,00000000	-0,01101695
 17,25678635	 0,00000000	-0,01101695
 17,26186371	 0,00000000	-0,01101695
 17,26693916	 0,00000000	-0,01101695
 17,27201653	 0,00000000	-0,01101695
 17,27709389	 0,00000000	-0,01101695
 17,28217125	 0,00000000	-0,01101695
 17,28724861	 0,00000000	-0,01135593
 17,29232407	-0,00033898	-0,01101695
 17,29740143	-0,00033898	-0,01101695
 17,30247879	-0,00033898	-0,01101695
 17,30755615	-0,00033898	-0,01101695
 17,31263351	-0,00033898	-0,01135593
 17,31771088	-0,00033898	-0,01135593
 17,32278633	-0,00033898	-0,01135593
 17,32786369	-0,00033898	-0,01135593
 17,33294106	-0,00033898	-0,01135593
 17,33801842	-0,00033898	-0,01135593
 17,34309578	-0,00033898	-0,01135593
 17,34817314	-0,00033898	-0,01135593
 17,35324860	-0,00033898	-0,01135593
 17,35832596	-0,00033898	-0,01135593
 17,36340332	-0,00033898	-0,01135593
 17,36848068	-0,00033898	-0,01135593
 17,37355804	 0,00000000	-0,01135593
 17,37863350	 0,00000000	-0,01135593
 17,38371086	 0,00000000	-0,01135593
 17,38878822	 0,00000000	-0,01135593
 17,39386559	 0,00000000	-0,01135593
 17,39894295	 0,00000000	-0,01135593
 17,40402031	 0,00000000	-0,01135593
 17,40909576	 0,00000000	-0,01135593
 17,41417313	 0,00000000	-0,01135593
 17,41925049	 0,00000000	-0,01135593
 17,42432785	 0,00000000	-0,01135593
 17,42940521	 0,00000000	-0,01135593
 17,43448067	 0,00000000	-0,01135593
 17,43955803	 0,00000000	-0,01135593
 17,44463539	 0,00000000	-0,01135593
 17,44971275	 0,00033898	-0,01135593
 17,45479012	 0,00000000	-0,01135593
 17,45986748	 0,00000000	-0,01135593
 17,46494293	 0,00000000	-0,01101695
 17,47002029	 0,00000000	-0,01101695
 17,47509766	 0,00000000	-0,01101695
 17,48017502	 0,00000000	-0,01135593
 17,48525238	 0,00000000	-0,01101695
 17,49032784	 0,00000000	-0,01101695
 17,49540520	 0,00000000	-0,01101695
 17,50048256	 0,00000000	-0,01101695
 17,50555992	 0,00000000	-0,01101695
 17,51063728	 0,00000000	-0,01101695
 17,51571465	 0,00000000	-0,01101695
 17,52079010	 0,00000000	-0,01101695
 17,52586746	-0,00033898	-0,01101695
 17,53094482	-0,00033898	-0,01101695
 17,53602219	-0,00033898	-0,01067797
 17,54109955	-0,00033898	-0,01101695
 17,54617500	-0,00033898	-0,01067797
 17,55125237	-0,00033898	-0,01101695
 17,55632973	-0,00067797	-0,01101695
 17,56140709	-0,00067797	-0,01101695
 17,56648445	-0,00067797	-0,01101695
 17,57156181	-0,00067797	-0,01101695
 17,57663727	-0,00067797	-0,01101695
 17,58171463	-0,00067797	-0,01101695
 17,58679199	-0,00067797	-0,01101695
 17,59186935	-0,00067797	-0,01101695
 17,59694672	-0,00067797	-0,01101695
 17,60202408	-0,00067797	-0,01101695
 17,60709953	-0,00067797	-0,01101695
 17,61217690	-0,00067797	-0,01135593
 17,61725426	-0,00067797	-0,01135593
 17,62233162	-0,00033898	-0,01135593
 17,62740898	-0,00033898	-0,01135593
 17,63248444	-0,00033898	-0,01135593
 17,63756180	-0,00033898	-0,01135593
 17,64263916	 0,00000000	-0,01135593
 17,64771652	 0,00000000	-0,01135593
 17,65279388	 0,00000000	-0,01169491
 17,65787125	 0,00000000	-0,01169491
 17,66294670	 0,00000000	-0,01169491
 17,66802406	 0,00000000	-0,01169491
 17,67310143	 0,00000000	-0,01169491
 17,67817879	 0,00000000	-0,01169491
 17,68325615	 0,00000000	-0,01169491
 17,68833160	 0,00000000	-0,01169491
 17,69340897	 0,00033898	-0,01169491
 17,69848633	 0,00033898	-0,01169491
 17,70356369	 0,00033898	-0,01169491
 17,70864105	 0,00000000	-0,01169491
 17,71371841	 0,00000000	-0,01169491
 17,71879387	 0,00000000	-0,01169491
 17,72387123	 0,00000000	-0,01169491
 17,72894859	 0,00000000	-0,01169491
 17,73402596	 0,00000000	-0,01135593
 17,73910332	 0,00000000	-0,01135593
 17,74417877	 0,00000000	-0,01135593
 17,74925613	 0,00000000	-0,01135593
 17,75433350	 0,00000000	-0,01135593
 17,75941086	 0,00000000	-0,01101695
 17,76448822	-0,00033898	-0,01101695
 17,76956558	-0,00033898	-0,01101695
 17,77464104	-0,00033898	-0,01101695
 17,77971840	-0,00033898	-0,01101695
 17,78479576	-0,00033898	-0,01067797
 17,78987312	-0,00067797	-0,01067797
 17,79495049	-0,00067797	-0,01101695
 17,80002594	-0,00067797	-0,01101695
 17,80510330	-0,00067797	-0,01101695
 17,81018066	-0,00067797	-0,01101695
 17,81525803	-0,00067797	-0,01101695
 17,82033539	-0,00067797	-0,01101695
 17,82541275	-0,00067797	-0,01101695
 17,83048820	-0,00067797	-0,01101695
 17,83556557	-0,00067797	-0,01101695
 17,84064293	-0,00067797	-0,01101695
 17,84572029	-0,00067797	-0,01101695
 17,85079765	-0,00067797	-0,01101695
 17,85587502	-0,00067797	-0,01101695
 17,86095047	-0,00067797	-0,01101695
 17,86602783	-0,00067797	-0,01101695
 17,87110519	-0,00067797	-0,01101695
 17,87618256	-0,00033898	-0,01101695
 17,88125992	-0,00033898	-0,01101695
 17,88633537	-0,00033898	-0,01135593
 17,89141273	-0,00033898	-0,01135593
 17,89649010	-0,00033898	-0,01135593
 17,90156746	 0,00000000	-0,01135593
 17,90664482	 0,00000000	-0,01135593
 17,91172218	 0,00000000	-0,01135593
 17,91679764	 0,00000000	-0,01135593
 17,92187500	 0,00000000	-0,01135593
 17,92695236	 0,00000000	-0,01135593
 17,93202972	 0,00000000	-0,01169491
